title,company_name,job_description,english_level,salary
Python (Django) Developer,Django Stars,"We seek a highly motivated and experienced Python Developer to join our growing team. You will be responsible for designing, developing, and maintaining complex software solutions in Python. You will work closely with the development team to ensure timely delivery of high-quality software products.

About the project: Cutting-edge technology projects that provides innovative solutions for the waste management industry: Cutting-edge platform that helps customers efficiently manage their waste and reduce their environmental impact.

What you will do:
Design, develop and maintain complex software solutions using Python.
Write clean, scalable, and maintainable code.
Work closely with cross-functional teams to define, design, and ship new features.
Perform code reviews and ensure adherence to coding standards.
Stay up-to-date with the latest technology trends and best practices.

Requirements:
3+ years of developing commercial projects using Python and Django
Experience with database design and management
Ability to work with the databases (not only through ORM)
Experience in declarative API frameworks such as GraphQL
Excellent problem-solving and analytical skills.
Upper-Intermediate English level
Experience with Agile methodologies wll be a plus.

We offer:
Challenging projects with cutting edge technologies
Highest development standard
A talented and skilled team with cross-domain expertise
Competitive salary in USD
Paid vacation and sick leaves
Medical insurance
PE accounting and support
Friendly atmosphere to rest and share knowledge.",Upper,
Backend (Python) Software Engineer,Data Science UA,"About us:
Data Science UA is a service company with strong data science and AI expertise. Our journey began in 2016 with the organization of the first Data Science UA conference, setting the foundation for our growth. Over the past 7 years, we have diligently fostered the largest Data Science Community in Eastern Europe, boasting a network of over 30,000 AI top engineers.

About the client:
Big data, AI, and the defense industry are what our client combines in their work. The company works ""at the cutting edge of innovation"", analyzes big data from social networks, identifies groups of people by photos, and solves useful tasks for the defense industry and business.

About the role:
We are looking for a Backend (Python) Software Engineer with experience in social media parsing to join the team.

Requirements:
- Experience in Python (asyncio, multiprocessing, aiohttp, requests, BeautifulSoup, Selenium).
- Experience in parsing open data.
- Experience in social media parsing
- Understanding of asymptotics, algorithms, data structures, and basics of parallel programming.
- Understanding of the basic principles of data transmission in the network.
- Experience with NoSQL and SQL databases (MongoDB, Redis).

Nice to have:
- Familiarity with Java (Android), JavaScript (frida), adb.
- Background in application security.
- Experience with Linux, Docker.
- Experience in creating APIs, and optimizing program code.

Responsibilities:
- Analyzing the level of security in the application.
- Development of tools for collecting information from open sources.
- Using tools for working with big data - building cluster solutions.
- Building data pipelines.

The client offers:
- Dynamic and friendly working atmosphere.
- Remote work.
- Paid vacation - 20 days.
- Sick leaves - 10 days.
- Medical insurance.
- Equipment for work.",,
Tech/Team Lead (Python),Quantum,"Quantum is a global technology partner delivering high-end software products that address real-world problems.

We advance emerging technologies for outside-the-box solutions. We focus on Machine Learning, Computer Vision, Deep Learning, GIS, MLOps, Blockchain, and more.

Here at Quantum, we are dedicated to creating state-of-art solutions that effectively address the pressing issues faced by businesses and the world. To date, our team of exceptional people has already helped many organizations globally attain technological leadership.
We constantly discover new ways to solve never-ending business challenges by adopting new technologies, even when there isn’t yet a best practice. If you share our passion for problem-solving and making an impact, join us and enjoy getting to know our wealth of experience!

About the position

Quantum is expanding the team and has brilliant opportunities for a Team/Tech Lead Python developer. The client is a technological research company that utilizes proprietary AI-based analysis and language models to provide comprehensive insights into global stocks in all languages. Our mission is to bridge the knowledge gap in the investment world and empower investors of all types to become “super-investors.”
Through our generative AI technology implemented into brokerage platforms and other financial institutions’ infrastructures, we offer instant fundamental analyses of global stocks alongside bespoke investment strategies, enabling informed investment decisions for millions of investors worldwide.

Must have skills:
— 4+ years of experience with Python
— Strong knowledge and experience with Docker
— AWS-based development experience
— Experience in developing RESTful web services and a deep understanding of microservices architecture
— Solid knowledge of SQL & NoSQL technologies
— Team Leadership experience
— Project Leadership experience
— At least an Upper-Intermediate level of English (spoken and written)

Would be a plus:
— Data processing
— Experience with PySpark

Your tasks will include:
— Make architecture for production solutions, suggest solutions for improvement
— Generate technical solutions for tasks
— Make project plans, estimate budgets
— Take part in presale, analyze tasks, communicate with customers
— Develop solid unit and integration tests according to organizational standards
— Collaborates with designers, developers, and product owners
— Detect and solve performance issues on architectural, design, and code levels

We offer:
— Delivering high-end software projects that address real-world problems
— Surrounding experts who are ready to move forward professionally
— Professional growth plan and team leader support
— Taking ownership of R&D and socially significant projects
— Participation in worldwide tech conferences and competitions
— Taking part in regular educational activities
— Being a part of a multicultural company with a fun and lighthearted atmosphere
— Working from anywhere with flexible working hours
— Paid vacation and sick leave days

Join Quantum and take a step toward your data-driven future.",Upper,до $6500
Middle Java Developer на long-term проект розробки інноваційного продукту $2500-4000,Edgica,"Ми розробляємо і підтримуємо інноваційним продукт для клієнта з Швейцарії. Хочемо залучити до участі у проекті remote full-time Java розробника із досвідом роботи від 3-х років.

Проект - web і mobile apps, сервіси у домені Smart City / Travel / IoT, більше деталей при спілкуванні. Технології backend: java, spring, postgres, mqtt, docker. Команда: 3 devs, 2 QA, UX/UI, PM

Вимоги: 3+ роки досвіду с java, Spring Framework, PostgreSQL, docker. Досвід з Stripe, MQTT, python, devOps буде плюсом. Адекватна англійська (Intermediate+).

Якщо цікаво - висилайте свій профайл, поспілкуємось.

Не проґавте свій шанс прийняти участь у цікавому проекті, який стане окрасою вашого резюме :)

Дякую,
Edgica Team
www.edgica.com",Upper,$2500-4000
AI Python Developer,Join.To.IT,"Ми українська аутсорс компанія Join.To.IT, створюємо програмні рішення у різних сферах бізнесу понад 10 років.
Наша команда складається з досвідчених професіоналів, які захоплені своєю справою, поділяють спільні цінності та прагнуть до кращого результату.
Зараз ми у пошуку талановитого AI Python Developer.
Якщо ти дійсно любиш те, чим займаєшся, надсилай своє CV та стань частиною нашої команди.

Що треба мати:
• загальний досвід розробки на Python 4+ роки;
• мінімум 2+ роки досвіду роботи з AI;
• володіння англійською на рівні не нижче Upper-Intermediate;
• досвід роботи з OpenAI API, TensorFlow, NoSQL, SQL, Docker and Kubernetes, Cloud Platforms.

Основні обов'язки:
• розробка функціоналу проєкту;
• підтримка існуючих проєктів та покращення функціональності існуючих рішень;
• проведення оцінки проєктів;
• code review.

Ми пропонуємо:
• комфортний формат роботи (офіс/гібрид);
• гнучкий початок робочого дня з 9:00 до 10:00;
• конкурентну заробітну плату та її перегляд кожні 6 місяців;
• комфортний офіс із укриттям та Starlink поруч із м. Васильківська;
• покриття професійних курсів;
• лояльний менеджмент.",Upper,
Backend Developer (Python),SD Solutions,"On behalf of Atlas Invest, SD Solutions is looking for a talented Back-End Developer to join our fast-paced team and contribute to the development of the future of real estate backed loans.


*Responsibilities:*

Backend development: Design, develop, and deploy back-end (Python) data mining Applications
Database management: Design and implement efficient database solutions (e.g., PostgreSQL, MongoDB) to store and manage application data + SQL.
Deployment expertise: Utilize containerization technologies like Docker to ensure smooth and scalable deployments.
Testing and automation: Write unit and integration tests for your code, and implement automation tools to improve efficiency.
Problem-solving: Collaborate with team members to identify and resolve technical challenges, debug issues, and improve application performance.

*Requirements:*

BSc / BA Computer Science.
At least 3 years as a backend developer (Design, Coding, Unit testing, Deployment).
At least 3 years of Python development.
Experience in development of data mining Applications
Strong understanding of web development principles and best practices.
A passion for learning and adapting to new technologies.
Self-motivated and able to work independently with minimal supervision.

*Advantages:*

Experience with web scraping technologies (e.g., Beautiful Soup, Scrapy, Selenium) for data acquisition- mre than one scraping.
TypeScript/Node.js.

*About the company:*

Atlas Invest is transforming the bridge loan landscape, seamlessly connecting investors with real estate developers using advanced big data analytics for a personalized investment experience.",Upper,
python developer for algorithmic trading project,NATS,"Ми українська продуктова компанія NATS, заснована у 2021 році. Займаємось алгоритмічним хедж-фондом, алготрейдингом. Алгоритмічний хедж-фонд - це інвестиційний фонд, який використовує складні математичні моделі та алгоритми, щоб приймати рішення про купівлю та продаж активів. Ми використовуємо велику кількість даних, щоб відслідковувати тенденції на ринку та використовувати їх для прийняття рішень. Так, з нами буде цікаво :)",Intermediate,
Strong Junior Python Developer (scraping),Python Automation Masters,"Про нас:
Невелика команда, що займається написанням ефективних скриптів для web на Python 3.x. Серед рішень є такі, що обробляють близько 800 000 запитів кожні 10 годин використовуючи Python 3, mysql, Redis, із невеликою кількістью ресурсів.
Запрошуємо до співпраці Strong Junior Python Developer для розширення команди.

Технології, що використовуються на проектах:
- Python 3.x
- DB: mysql, Postgres, Redis
- OS: Linux (Ubuntu, CentOS)
- Deployment: hosts in cloud (e.g. Digital Ocean)

Умови праці:
- віддалена робота
- Part time / full time
- комунікація через telegram/skype/zoom

Задачі:
- написання скриптів на Python відповідно до вимог
- комунікація по статусах
- участь у прорахунках проектів (в подальшому - прорахунка проектів)

Вимоги:
- практичний досвід від 1 року роботи із Python 3.x.
- досвід у сфері scraping
- вміння зробити естімейт на задачу.

Буде плюсом:
- досвід роботи з GPT3
- DataScince/ML
- розмовна англійська.

У відгуку на вакансію надсилайте, будь ласка, посилання на git із прикладами робіт.",Intermediate,$900-1300
Python Engineer,Intobi,"Hey guys 👋
We’re Intobi - a software development company, located in Kyiv 🇺🇦
Our main specialization is Web & Mobile applications + UI/UX Design.

We’re looking for a success-driven Python Engineer.
Full-Time, Long-Term position.

Requirements:
— at least 4 years of commercial experience;
— Strong ability to code in Python (Django);
— Good problem-solving skills;
— Analytical mindset;
— Experience with React;
— English proficiency.

What we offer:
— Competitive salary;
— Paid vacation and sick leaves;
— Paid day off (Ukrainian holidays);
— Ability to work from our cozy office;
— 8 hours working day, 5 days a week;
— Career growth potential;
— Friendly team and corporate events.

Please send your CV here or via email.

Should the first stage be successfully completed, you’ll be invited to a personal interview.",Upper,
Python developer / middle $1000-1700,dZENcode,"Необхідні навички:
- Досвід в IT компанії на Python - від 3+ року;
- Знання фреймворку Django;
- Впевнене знання Python3;
- Відмінне знання мови програмування Python;
- Досвід вирішення завдань, пов'язаних з асинхронним програмуванням.

Обов'язки:
- Проектування і розробка нових та існуючих проектів;
- Розробка API для клієнтських додатків і сервісів;
- Участь в оцінюванні проєктів;
- Відповідальність за свою роботу.

Буде плюсом:
- Знання AWS;
- Досвід роботи з noSQL.
- Розмовна Англійська.

Ми пропонуємо:
- П'ятиденка, 8 годинний робочий день;
- Відпустка 2+ тижні від Вашого середньорічного результату роботи;
- Гнучкий графік, будь-який день можна зробити днем відпочинку (вирішили питання лікарняних і на ""свій рахунок"") або ще однією відпусткою :)
- Гідна заробітна плата, яка розраховується відповідно до ваших результатів відповідно до ваших знань та досвіду;
- Індексація заробітної плати відповідно до результатів роботи, оплачувані овертайми.",Pre,$1000-1700
Senior Python Developer,AutoDS,"We are looking for a Senior Python developer for remote work in our worldwide team. We need someone who wants to take part in something big and assume responsibility for the success of a new and innovative e-commerce project.

The right candidate will be someone with an open mind who loves to solve problems and who strives to take their projects to the next level.

Job Type: Remote, full-time

- You will be working on the company's key product:
Maintain and extend Flask back-end service
Implement internal and external API integrations
Promote the best coding practices and standards, design best-in-class solutions

- Main hard skills requirements for candidates:
Strong background with Python 4+ years.
Experience creating API with Flask and Flask Restplus.
Experience with the following frameworks: SQLAlchemy, Celery, Marshmallow, and Pydantic.
Strong background working with MySQL and MongoDB Databases.
Experience with Kubernetes and Docker.
Experience with FastAPI would be a plus.
Experience with Clean Architecture would be a plus.

- Main soft skills requirements for candidates:
Strong desire and a proactive attitude to work.
English & Russian - at least Intermediate level.
Strong problem-solving abilities.
Flexibility and team player.

About us
AutoDS is an all-in-one dropshipping automation solution that saves dropshippers time on their everyday eCommerce tasks. We help our members automate everything from finding products to sell and monitoring their price, all the way to fulfilling orders.

We are a global company with team members all over the world. We live on collaboration tools like Slack and Zoom, but we love to chat and organize meet-ups as often as possible. ‘Community’ is one of our core values, and it is just as important as our technical values like eCommerce automation.

This is a great opportunity to work with talented teammates from across the globe.

We are proud of our online communities, like our YouTube channel with over 25k subscribers who are hungry to learn about dropshipping. When you join us, you will play an active part in growing and nurturing these communities.

No matter your role at AutoDS, you will help to grow the company and your voice will be heard.",Intermediate,
Middle Python Developer,ElifTech,"Middle Python Developer for Night Support (Long-term)

We are seeking three Middle Python Developers for night support on a long-term basis, willing to work in shifts.

Important Information:

-The working hours cover the period from 7:00 PM to 9:00 AM Ukrainian time. Candidates who can accommodate the following schedule are preferred:
-Every third day from 7:00 PM to 9:00 AM, resulting in 10-11 working shifts per month with flexible days off.
-There will be a team of three individuals on this support shift, allowing for mutual exchanges with prior approval from the manager.
-Incidents are rare (approximately 1-2 per month), but a quick response (within 30 minutes) and resolution are required.

Candidate Consideration:

Candidates from Ukraine and abroad are welcome. For example, candidates from EST (countries in South America, such as Ecuador) or the USA can apply. This allows candidates to work partially during their daytime and evening-night hours (from 6 PM CET to 8 AM CET, corresponding to 12 PM to 2 AM EST).

Tech Stack:
Python, Django, Falcon, Docker.


English: Upper-Intermediate.
Experience:
Minimum of 3 years.

Project Overview:

-Collaboration with the public sector in Sweden.
-Development of an application for managing household energy consumption.
-Users can track their energy consumption, and product gamification encourages clients to reduce energy consumption.
-The product utilizes machine learning algorithms to monitor and analyze household energy behavior.
-The client has a team of 12 engineers working on the core product during the day, so our role is specifically to provide support.",Upper,
Senior BE Python Developer,Meduzzen,"We are looking for a Senior BE Python Developer.

The project is about collecting and processing data for sports games, to provide data as a service or to predict winners.
It's not a casino or gambling site, it's a data-collecting and processing platform, for sport game winners' prediction.

We are an outstaff company, working with a client for a long-time, he is looking for a smart and fast developer.

Tech stack: Python, FastApi, Prometheus, Graphana, Websockets, MySQL.

Importantly:
- Work experience of 6 years with Python;
- English B1-C1.",Upper,
Python Developer (Senior),gart.tech,"About Us:
Gart Technology is a rapidly growing software development and engineering company that specializes in delivering high-quality projects for clients across various industries. We are currently seeking an experienced and motivated individual to join our team in the role of Python Developer.

Position Overview:
As a Senior Python Developer at Gart Tech, you will play a pivotal role in architecting, designing, and implementing high-performance, scalable applications. You will collaborate with cross-functional teams, mentor junior developers, and contribute to the overall success of our projects.

Qualifications:
— 3+ years of software development experience with Python as BackEnd;
— Analytical skills and ability to turn a concept into a working solution.
— Proven knowledge of AI and ML algorithms, tools, and frameworks (e.g., TensorFlow, PyTorch).
— Experience in developing and managing microservices.
— Knowledge about message queues, and CI/CD or MLOps.
— Strong communication skills & prior experience leading a team (for Lead-level applicants).
— Experience in AI, ML, IoT, engineering area will be a nice advantage.

Responsibilities:

— Design, develop, test, and deploy robust and scalable Python applications.
— Collaborate with cross-functional teams to define and implement innovative solutions.
— Mentor and guide junior developers, fostering a culture of continuous learning and improvement.
— Participate in code reviews to ensure code quality, performance, and adherence to coding standards.
— Investigate and resolve complex technical issues as they arise, ensuring timely delivery of solutions.
— Stay up-to-date with industry trends and incorporate best practices into daily work.

How to Apply:
If you meet the requirements and are enthusiastic about this opportunity, please submit your resume and a cover letter outlining your relevant experience.",Intermediate,
"Python Engineer (Poland, Romania) до $6500",Adaptiq,"We are a pioneer in the field of Enhanced Sensory AI, and are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.

Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.

We proudly serve a diverse clients' portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.

We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.

Your responsibilities
Serve as a technical domain expert on backend development.
Establish design principles with the broader development team.
Hands-on web development of production-ready applications at scale.
Design and implement efficient and well-engineered solutions.
Work closely with data science, product, QA and infrastructure teams.

Skills
Back-end: Python, Django with celery
AWS experience
Data: Basic SQL and NoSQ-mongodbL, AWS S3
Experience

5+ years in backend development
5+ years in Python, Django with celery
Extensive AWS experience, including serverless architectures
Experience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)
Experience with SQL and NoSQ-mongodbL
Nice to have: Experience in Machine Learning/Deep Learning

Education
Bachelor’s or Master's in Computer Science, Software Engineering or a related field",Upper,до $6500
Python Developer,Data Pro,"We are seeking an experienced Backend Developer with a strong focus on Python and DevOps skills: Kubernetes and Docker.

You’ll be responsible for building robust backend systems and contributing to end-to-end development and deployment.


Basic Qualifications
Bachelor’s or Master’s in Computer Science or related field.
Strong proficiency in backend development, particularly in Python. Solid understanding of CI/CD pipelines. Experience with Kubernetes and Docker is a must.

Responsibilities
Design, implement, and maintain scalable backend services.
Work closely with cross-functional teams.
Assist in deployment and occasional performance tuning using Rust.",Upper,
"Python Developers (Permanent/ requires relocation to Dubai, UAE) $7000-10000",Aspire Technology,"Looking for an experienced Python developer who will be focused on the development of the server-side logic of a web application, ensuring its high performance, maintainability and quality.

KEY RESPONSIBILITIES

Functional (Process/ Technical /Operational)
- Design, build and maintain back-end services and API
- Write high quality Python code backed by unit and functional tests
- Identify bottlenecks and bugs, and provide solutions to these problems
- Integrate third-party services and tools
- Review code and mentor other developers


JOB REQUIREMENTS

Qualifications / Technical Skills
- System design skills
- Strong proficiency in writing Python code
- Experience with modern asynchronous web frameworks
- Familiarity with service-oriented architecture
- Understanding of the concurrency model in Python
- Experience with graph databases is a plus",,$7000-10000
ML/CV Engineer,Samsung R&D Institute Ukraine,"Samsung R&D Institute Ukraine is looking for a passionate and collaborative ML/CV Engineer to join our team in Kyiv.

Key responsbilities:

• Design, implement, evaluate and improve ML/DL models, software prototypes for computer vision enabled products

Requirements:

• 3+ years of commercial experience for solving computer vision problems by machine/deep learning and conventional algorithms
• Strong mathematics background, good understanding of classical and deep learning algorithms
• Solid software engineering skills for prototyping, including deployment and optimization of ML/DL models
• Programming languages: Python, C++
• Masters degree in computer science, math, statistics or physics with strong math background

Desirable skills / expertise:

• Experience in generative AI
• Awareness of Web development
• Participation in ML/DL contests (e.g. kaggle)
• PhD in the mentioned scientific areas

Working Conditions:

• official employment, as per Ukrainian labor law (regular employee) or GIG contract
• remote work is possible as well as work in Kyiv office

Benefits:

• competitive salary, annual salary review, annual bonuses
• paid 28 work days of annual vacations and sick leaves
• opportunity to become an inventor of international patents with
paid bonuses
• medical & life insurance for employees and their children
• paid lunches
• discounts to Samsung products, gym, restaurants, services
• English language courses
• regular education and self-development on internal courses and seminars
• hybrid work format",Intermediate,
Backend Python Engineer,Adaptiq,"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.

Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.

We proudly serve a diverse client’s portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.

We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.

Responsibilities:
Serve as a technical domain expert on backend development.
Establish design principles with the broader development team.
Hands-on web development of production-ready applications at scale.
Design and implement efficient and well-engineered solutions.
Work closely with data science, product, QA and infrastructure teams

Skills
Back-end: Python, Django with celery.
AWS experience
Data: Basic SQL and NoSQL-MongoDB, AWS S3

Experience:
5+ years in backend development
5+ years in Python, Django with celery.
Extensive AWS experience, including serverless architectures
Experience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)
Experience with SQL and NoSQ-mongodbL.
Nice to have: Experience in Machine Learning/Deep Learning

Education
Bachelor’s or Master's in Computer Science, Software Engineering or a related field",Upper,до $6500
Senior Python Developer,Numerical Technologies,"Numerical Technologies is a leading provider of custom software solutions and services specializing in risk, limits, and regulatory capital.
Right now, we are looking for a Python Developer to join our team.

What will you be doing?
You will be joining an international team of experienced developers dedicated to providing best-in-class development and cloud management services to our clients, stakeholders, and partners.

You will help us develop new software features, support and maintain the existing ones. You will be writing scalable and fault-tolerant code, debugging programs, and integrating applications with third-party web services. You will provide hands-on expertise to increase the availability, reliability, and efficiency of our products. You will work closely with the client and product manager to understand the system’s functional and non-functional requirements, and contribute to code quality through unit testing, integration testing, code review, and system design using Python to build robust software that aligns with the client’s business needs.

What are we looking for?
◼️ A strong programming background with Python and OO programming skills
◼️ Hands-on experience in backend development using FastApi for frontend components
◼️ Experience of the Agile project management methodology
◼️ Good knowledge of Git, Jira, and Confluence
◼️ Demonstrated problem solving skills to provide production support of software
◼️ Strong communication skills and experience in dealing with both technical and non-technical stakeholders.

What additional skills will help you stand out?
◼️ Hands-on experience in developing backend, microservices, RESTful API using Python
◼️ Experience working at a financial institution
◼️ Experience working with cloud platforms (AWS, Azure).

We offer:
◼️ Competitive compensation depending on experience and skills
◼️ Regular assessments and salary reviews
◼️ Compensation for sick lists and regular vacations
◼️ Health insurance
◼️ English classes with native speaker (certified English teachers)
◼️ Flexible working schedule
◼️ Friendly team and enjoyable working environment.",Upper,
Fullstack Python/React Developer $2000-3800,Elementica,"Build the most meaningful apps on the latest web technologies!

ABOUT ELEMENTICA

Welcome to Elementica! We are excited to see you on our profile. Elementica is a leading global software development company – expert in delivering web development, mobile application development and IT consulting services of any complexity to clients worldwide.
www.elementica.io

JOB POSITION

We are looking for a talented Fullstack Python/React Developer to join our Development Team. You will be at the core of our talented Web Apps teams and focus on building the most advanced and meaningful apps and workflows on the latest web technologies.

RESPONSIBILITIES AND DUTIES

As a fullstack developer, you will work on our next generation applications, a specific project critical to our customer’s needs. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new challenges as we continue to push technology forward.
We are Product oriented developers with a growth mindset. We are curious problem solvers and we like to collaborate, communicate, share knowledge and technical ideas and grow together.

What you’ll do:

- Develop cloud based frontend and backend web applications
- Work in all phases of the software development life-cycle (planning, design, implementation, deployment, monitoring and support)
- Collaborate and grow in a dynamic environment while working in small, agile and cross functional teams
- Use the latest technologies to solve real problems for our customers
- Communicate and coordinate with our engineering team in Ukraine.

What we look for in you:

- Results-orientation, collaborative, pragmatic and agile mindset
- Strong knowledge in working with Javascript, Typescript and Python
- Expertise with the cloud (preferably AWS or GCP)
- Working proficiency in English (written and verbal)
- Continuous independent learning

We are looking for these skills/experience:

* Strong knowledge of one or more Python frameworks (Django, Flask, FastAPI)
* Familiarity with some ORM (Object Relational Mapper) libraries
* Strong knowledge of relational (PostgreSQL) and non-relational (MongoDB) databases
* Experience with React hooks, CSS-in-JS, Redux, Jest
* Understanding of SSR with Next.js
* Understanding of common development principles and best practices (SOLID, DRY, YAGNI) and basic understanding of design patterns
* Experience working with Docker and Docker Compose
* Experience in CI/CD processes is a plus
* Experience with web performance optimizations

What we offer:

* The opportunity to drive the development of cutting-edge software products
* The chance to work on interesting technical challenges such as advanced algorithms, wide integrations or scalable content management
* A positive, highly skilled, young team with a focus on quality
* Hybrid/remote working possibility / Home-office friendly / Flexible working hours
* Pick your own gear: Linux or IOS - whatever works best for you
* A lot of room for your own ideas. We always highly encourage you to work on them together with the team.
* Outstanding compensation based on experience and 20 days vacation
* Sponsored training opportunities with Udemy and English classes

Our job offer Full Stack Python/React Developer sounds interesting? Then we are looking forward to receiving your application!",Intermediate,$2000-3800
Software Engineer (Python/Golang),QIT Software,"QIT Software is looking for a Software Engineer to the product from the US. We are building a no / low code SaaS platform to create AI apps and bots that are easy to create, manage and share from with in the UI. The platform will make recommendations on cost optimizations, help audit and trace the AI bots/app’s interaction with its users.

Details:
- Schedule: Full-time, remote
- Client: USA
- Project: no / low code SaaS platform to create AI apps
- Stack: Golang, Python, NLP, RAG, IndexLlama, Semantic Search and Langchain, Pinecone, etc.
- Duration: long-term
- Team: 3-4 tech people (be and fe)
- Tools: Loom, Slack, Jira, etc.
- Methodology: Agile

Hiring process: 1 - Pre-screen (up to 30 mins), 2 - Home assignment, 3 - Tech interview, 4 - Interview with CEO


*4+ years of experience in software development
*Experience in Golang, Python, NLP, RAG, IndexLlama, Semantic Search and Langchain, Pinecone is a MUST*

Requirements:
*Experience in Vector DBs
*Hands-on experience using Python frameworks such as Flask building *REST APIs that run in production environments;
*Hands-on experience using Golang frameworks such as Gokit
*Experience with common databases, such as PostgreSQL & MongoDB;
*Experience in container technologies like Docker, Kubernetes (K8s)
*Experience working with cloud platforms: AWS, GCP, etc
*English communication skills

Responsibilities:

Among the technical challenges we are facing is the implementation of our own cloud infrastructure to serve our self learning engine as a scalable low code / no code solution. We are looking for an experienced backend developer (AI/ML) to support us in building scalable Generative AI DB cloud solutions powering the underpinnings of AI dev tooling. You would be responsible for developing and maintaining our cloud service architecture, Vector DB search capabilities, and building integration solutions.

Will be a plus:

*Experience in Rust is a plus.

The ideal candidate for this position would also have:
*Following IaC best practices with Terraform, Helm
*Deployment and Continuous Integration Strategies
*Interest in open-source projects and Machine Learning/ A",Upper,
Data Scrap Specialist (Python),Flai,"Looking for a Data Scrap specialist to join the our team. If you love music, TikTok, Instagram, Spotify and all around that - you have found the right place to send your CV.


Skills requirements:
• Python Experience
• Expertise in web scraping and HTML parsing: Proven ability to navigate and extract data from web sources.
• Familiarity with GitLab and git commands: Comfortable using version control systems for collaborative development.
• Experience with SQL, including experience with large datasets;
• Problem-solving skills: Proven track record of identifying issues, troubleshooting effectively, and proposing sustainable solutions.
• Team player mindset: Willingness to collaborate within a team, share knowledge, and continuously learn from colleagues.



Nice to have:
• Good self-management and time management skills
• Willingness to learn new things


We offer:
• Building interesting project from scratch using new technologies;
• Personal and professional development opportunities;
• Competitive salary nominated in USD;
• Paid vacation and sick leaves, medical insurance;
• Flexible work schedule;
• Friendly working environment with minimal hierarchy;


About
Flai - helps musicians growth their audience and popularity.
Our focus is on real-world problems and real-world solutions.
About Flai
A comprehensive solution for the music industry

Our service solves the most difficult tasks of music labels, managers of artists, performers, beatmakers (composers/songwriters), musicians and talent hunting.",Pre,
Open Omniverse UI / Extension developer,StartupSoft,"ABOUT PROJECT
UrsaLeo is an immersive 3D platform that combines digital twin technology with real-time and historical data from IoT streams, ERP, maintenance, and other enterprise systems. They are the first company in the world to deploy digital twins into NVIDIA’s GDN network (according to NVIDIA) and NVIDIA Partner.

TECH STACK
Python, Scala, C++

TEAM COMPOSITION
Senior Back-end Engineer, CEO/founder, Founder/head of the engineering team, Tech consultant

PROJECT STAGE
Live

QUALIFICATIONS AND SKILLS
* 5+ years of industry experience
* Experience with NVIDIA Omniverse
* Work experience with Autodesk AutoCAD
* Work experience in Blender Tool and coding for the same
* Scripting/Coding language (Python, C/C++, etc.)
* Self-motivated to learn new things & embrace technology faster

RESPONSIBILITIES
* Collaborate with NVIDIA to build a cutting-edge app deploying digital twins into NVIDIA’s GDN network (according to NVIDIA)
* Evaluate and optimize existing automated tools (e.g., PXYZ) for CAD integration, ensuring scalability and efficiency
* Plan and execute the redesign of the ingestion pipeline to improve efficiency and streamline the CAD-to-Unity integration process
* Address specific challenges related to CAD-to-Unity integration, such as metadata transfer from CAD files to Unity
* Ensure accurate transfer of metadata from CAD files to Unity, enhancing the information associated with the integrated models

WHY STARTUPSOFT?
* Work with top entrepreneurs and startups from Silicon Valley and EU
* Become an integral part of the core team — be more than someone who just writes code
* Potential to receive equity in high-growth startups
* Contribute to well-funded products with the potential to impact millions
* Beautiful offices in the best locations with high-end amenities
* Tight-knit team with an inclusive and transparent culture
* Only the latest, modern technologies with no legacy code and management bureaucracy
* Above average salary, benefits & medical insurance",Upper,
